Name,"Individual_
No.",2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2016.05.13
F2,138-217,13,30,67,96,31,47,66.5,42.5,0,1,10,10,18,24,8,8,120
F2,138-218,10,43,46,52,20,57,25,33.5,2,2,2,9,5,13,7,9,170
F2,138-219,20,47,70,141,35.5,56.5,62.5,54.5,0,0,6,11,14,19,5,6,167
F2,138-220,15,31,110,150,48,52.5,69,56,1,3,11,13,17,27,7,12,193
F2,138-221,13,34,59,145,33,43.5,68,60,0,0,9,16,18,22,7,7,157
F2,138-222,11,34,40,132,28,54,54.5,46,1,1,6,12,15,19,11,9,156
F2,138-223,15,52,43,150,21.5,44.5,70.5,59.5,0,0,8,14,15,21,6,8,145
F2,138-224,17,29,36,105,27.5,44,58,44,0,0,9,13,12,18,7,10,125
F2,138-225,12,43,40,110,20,61.5,58.5,54,0,0,6,9,13,16,8,9,129
F2,138-226,15,44,77,134,47,49.5,74,64.5,0,0,14,17,18,19,5,8,141
F2,138-227,13,45,76,125,26.5,61,69.5,54,0,0,10,11,16,19,5,6,129
F2,138-228,14,41,110,128,40,55,56.5,56,0,10,10,10,18,7,6,10,135
F2,138-229,14,32,55,133,35.5,54.5,72,57,0,0,9,13,19,24,7,9,142
F2,138-230,8,40,50,141,26,60,69,47.5,2,1,8,9,7,15,5,8,135
F2,138-231,14,39,130,133,35,59.5,72.5,47.5,0,12,8,10,17,9,5,7,140
F2,138-232,10,40,96,146,37,61,44.5,47.5,0,8,7,10,18,16,7,5,113
F2,138-233,23,45,87,128,45,59.5,74.5,63.5,1,5,13,17,20,20,1,10,158
F2,138-234,11,28,41,137,24,60.5,70,69,0,1,8,10,20,21,8,8,119
Da-Ol1_x_Da-Ae_F2,139-1,6,31,53,147,13,45.5,72.5,53.5,0,0,3,11,18,16,15,7,132
Da-Ol1_x_Da-Ae_F2,139-2,12,63,93,127,21.5,42.5,42,34.5,4,5,5,10,10,2,24,3,179
Da-Ol1_x_Da-Ae_F2,139-3,14,43,63,131,45.5,60.5,77.5,56,0,5,12,17,23,28,13,8,210
Da-Ol1_x_Da-Ae_F2,139-4,14,41,92,168,34.5,54,66,66,0,0,5,10,17,21,14,10,214
Da-Ol1_x_Da-Ae_F2,139-5,18,42,120,162,43,62,88,67,0,0,11,16,16,22,16,5,184
Da-Ol1_x_Da-Ae_F2,139-6,18,44,100,143,36.5,45,59.5,51,0,0,6,11,15,18,15,5,144
Da-Ol1_x_Da-Ae_F2,139-7,19,43,60,138,39,48.5,65,67.5,0,0,7,12,18,21,18,7,179
Da-Ol1_x_Da-Ae_F2,139-8,19,41,87,159,39,39.5,63.5,53.5,0,0,7,13,17,22,14,5,144
Da-Ol1_x_Da-Ae_F2,139-9,23,47,100,141,42.5,57,62.5,65.5,0,2,9,14,18,22,18,8,142
Da-Ol1_x_Da-Ae_F2,139-10,18,45,97,152,37,47,61,50,0,0,5,10,22,23,15,9,154
Da-Ol1_x_Da-Ae_F2,139-11,17,41,95,115,38,51.5,59,56,0,0,8,15,20,21,13,5,106
Da-Ol1_x_Da-Ae_F2,139-12,25,44,131,125,41.5,47.5,57.5,56.5,0,9,11,14,22,10,16,4,144
Da-Ol1_x_Da-Ae_F2,139-13,23,48,110,124,53.5,48.5,74,65.5,0,0,9,13,22,23,12,4,146
Da-Ol1_x_Da-Ae_F2,139-14,17,37,100,116,34,45,63.5,55.5,0,0,7,15,19,16,15,4,172
Da-Ol1_x_Da-Ae_F2,139-15,17,27,37,82,40,31,60,45.5,0,0,0,14,20,15,12,10,150
Da-Ol1_x_Da-Ae_F2,139-16,28,49,130,149,53,52,62,55,0,11,8,19,21,17,19,7,168
Da-Ol1_x_Da-Ae_F2,139-17,27,51,91,138,53.5,48.5,71,63.5,0,0,7,17,20,27,18,8,145
Da-Ol1_x_Da-Ae_F2,139-18,11,40,47,72,19,31.5,39,35.5,4,5,1,11,6,3,13,4,102
Da-Ol1_x_Da-Ae_F2,139-19,12,49,46,102,32.5,59,52,34,5,6,0,5,6,5,16,5,168
Da-Ol1_x_Da-Ae_F2,139-20,18,42,74,142,41,59,69,65.5,0,0,2,8,18,23,19,12,144
Da-Ol1_x_Da-Ae_F2,139-21,15,40,23,118,42,60.5,80,53.5,0,0,0,8,15,17,14,8,157
Da-Ol1_x_Da-Ae_F2,139-22,15,54,146,146,48,59,59.5,42.5,0,10,5,17,19,11,22,2,163
Da-Ol1_x_Da-Ae_F2,139-23,25,45,65,128,49,57,70.5,64.5,0,0,2,22,19,19,17,2,165
Da-Ol1_x_Da-Ae_F2,139-24,22,42,102,68,39.5,40,55.5,41,0,0,12,22,22,23,15,2,147
Da-Ol1_x_Da-Ae_F2,139-25,14,37,46,102,27.5,51,49,40,0,0,0,22,16,15,16,0,122
