"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_ID__k[ID_95,Intercept]",0.172279678333258,0.00765342059481254,0.511522637264951,-0.770499846124538,-0.127716937477237,0.101590637895985,0.457955374991346,1.30951178628408,4467.0267653107,1.0013532572886
"r_ID__k[ID_96,Intercept]",-0.303322580664456,0.0103306688520714,0.512805603939392,-1.38758355727296,-0.630686377040147,-0.24212450280576,0.0261820859196372,0.641151294531054,2464.04505118799,1.000818205724
"r_ID__k[ID_98,Intercept]",0.0807782437910733,0.00738397400305919,0.516268204677712,-0.921718080504818,-0.213435042379073,0.0397164145699827,0.368403641076009,1.18905252991642,4888.44170006715,1.00143466009497
"r_ID__k[ID_99,Intercept]",0.0528519593306901,0.00925505200269852,0.540590532590012,-0.994639606108674,-0.256960247317756,0.0231637952561788,0.337023394911507,1.25543234567858,3411.76527417975,0.999929069310517
"r_ID__I[Da_Ae,Intercept]",16.5180965102934,0.0464225932279216,3.30788295015274,9.74052291157965,14.329004719343,16.6096701553665,18.8089750977254,22.5791481456659,5077.40110324062,1.00047894119199
"r_ID__I[Da_Ol1,Intercept]",-13.2234473433697,0.0386191710269482,3.86191710269482,-20.8557469128704,-15.8373559175581,-13.2458900793395,-10.6433165869349,-5.61362669737512,10000,1.00088077731463
"r_ID__I[F1,Intercept]",-3.9663986587348,0.0352752721466945,2.49141531752285,-8.8568706190983,-5.64366803169092,-3.93961879679746,-2.30416712376799,0.786691147968602,4988.28794041955,1.00095123295714
"r_ID__I[ID_1,Intercept]",-0.17733655344262,0.0362897397820944,3.62897397820944,-7.44805753963342,-2.60155846326052,-0.110230937493457,2.29316144211539,6.8114465069942,10000,0.999864472674834
"r_ID__I[ID_10,Intercept]",2.78567630343306,0.0551359754266651,4.10574547031941,-5.53638832144608,0.0135346606137479,2.87954283354077,5.58072974725752,10.5419858929942,5545.15793951231,1.00013110475432
"r_ID__I[ID_100,Intercept]",-4.44518242353749,0.0441633896266891,4.41633896266891,-13.1579364036625,-7.40822230461876,-4.40738834748811,-1.38144161167606,3.87510159429522,10000,1.00046018903105
"r_ID__I[ID_101,Intercept]",-12.786539719078,0.0404255889968746,4.04255889968746,-20.867305458966,-15.4681122628206,-12.7249542947127,-10.0908008127916,-4.93823683306564,10000,1.00006199932309
"r_ID__I[ID_102,Intercept]",-7.10975462529246,0.0553074886618098,5.53074886618098,-17.9963320507173,-10.7932035935921,-7.05889395216354,-3.41422189194264,3.67190062864453,10000,1.00019267614967
"r_ID__I[ID_103,Intercept]",-15.350012612043,0.0515287932330973,5.15287932330973,-25.3442476866388,-18.7950180556262,-15.4060749226244,-11.9473684260481,-5.16760199411928,10000,1.00035681683876
"r_ID__I[ID_104,Intercept]",0.787549386700741,0.0434479614915656,4.34479614915656,-7.82224721564786,-2.13627275853329,0.797688718059282,3.69385485993546,9.34286484364986,10000,1.00021478278713
"r_ID__I[ID_105,Intercept]",1.45216926593371,0.0444430708050812,4.44430708050812,-7.58314053926331,-1.44889589551758,1.48243399569937,4.42672652144642,10.1321180671978,10000,1.00020590586496
"r_ID__I[ID_106,Intercept]",1.17300448247765,0.0467689947513757,4.67689947513757,-8.10647550644481,-1.96633203673185,1.20295819942739,4.39121101436344,10.1763180788611,10000,1.00072751128353
"r_ID__I[ID_107,Intercept]",19.0821896198204,0.0390472943971726,3.90472943971726,11.1099393756527,16.5264915711782,19.1718228238899,21.6972326296853,26.5249207473264,10000,1.00045303582404
"r_ID__I[ID_109,Intercept]",3.41806000692462,0.0505038122213397,5.05038122213398,-6.73204155529442,0.0348565620071765,3.43476620358343,6.84276835465295,13.1415963745574,10000,0.999936913824979
"r_ID__I[ID_111,Intercept]",-0.953482620756613,0.0454461156566078,4.54461156566078,-9.85994443984631,-3.98681729417452,-0.915664794259982,2.13728713080038,7.90250992369064,10000,1.00020654115502
"r_ID__I[ID_112,Intercept]",-6.94511356982229,0.0437031974406987,4.37031974406987,-15.725839716365,-9.83701772967976,-6.9979830946758,-3.98511259895691,1.64387116973018,10000,1.00022306044738
"r_ID__I[ID_113,Intercept]",-3.36364993138078,0.0391042974807134,3.91042974807134,-11.0503812575654,-5.99221356455536,-3.36174794082152,-0.832986462496864,4.47910093501272,10000,0.99995413216094
"r_ID__I[ID_114,Intercept]",-2.49869121907309,0.0439077347621413,4.39077347621413,-11.1122731448081,-5.47244783488126,-2.50093916043943,0.515410503583875,6.000842499166,10000,0.999679383013762
"r_ID__I[ID_116,Intercept]",-2.0158673582426,0.0458511055558689,4.58511055558689,-11.0850580570033,-5.09766118143262,-2.01220452037172,1.06555659318945,6.91655187911917,10000,1.00023890451882
"r_ID__I[ID_117,Intercept]",22.6568866146894,0.0604280811117488,6.04280811117488,10.2120461950067,18.7369866995736,22.7431250318489,26.8114289626235,34.0492492227727,10000,0.999869277410052
"r_ID__I[ID_118,Intercept]",3.93162190682264,0.0507079698955022,5.07079698955022,-6.13184796903222,0.588930568441476,3.97025274474916,7.33882503188475,13.7751091194338,10000,1.00026741435524
"r_ID__I[ID_119,Intercept]",16.7685001908547,0.0922787396635558,6.54736503295959,3.17860514407174,12.5992635277615,16.9873360913473,21.2727296105265,28.9189817309125,5034.19229571548,1.00153854564209
"r_ID__I[ID_12,Intercept]",-1.90746644558536,0.0430091297911476,4.30091297911476,-10.7838963303218,-4.68762291783543,-1.8989048844857,0.958976438611362,6.48929314154674,10000,1.00048521230816
"r_ID__I[ID_120,Intercept]",-3.74530350612244,0.0395546995957958,3.95546995957958,-11.8542978090549,-6.33942405556582,-3.67670947133592,-1.06625555615204,3.79738703345312,10000,1.00115735790373
"r_ID__I[ID_121,Intercept]",8.45945829386769,0.0563209150125833,5.63209150125833,-2.76896732527891,4.68252337922711,8.65943089331392,12.3653742379669,18.969057387206,10000,1.00037816817324
"r_ID__I[ID_122,Intercept]",12.913036452299,0.0447890962930427,4.47890962930427,3.85928280038404,9.94606199713127,12.9864668636452,15.9535170092277,21.4647457128334,10000,0.999746022145647
"r_ID__I[ID_123,Intercept]",-2.61115421011359,0.0656237405850857,4.66260146981481,-11.7343014609503,-5.71557787242585,-2.60080757911175,0.561844870723877,6.21384937802537,5048.17764148303,1.00033486653798
"r_ID__I[ID_124,Intercept]",2.57367988703336,0.0520972853610044,5.20972853610044,-7.82082554588359,-0.929655245395038,2.47911528768152,6.13034363566833,12.8170077890437,10000,1.00043915357659
"r_ID__I[ID_125,Intercept]",5.27072292440885,0.0634129452807295,6.34129452807295,-7.40463188854778,1.12331369525431,5.34371460863394,9.48239631675797,17.6387171533753,10000,1.00092102514306
"r_ID__I[ID_126,Intercept]",-0.172199119808888,0.0572208769156233,5.72208769156233,-11.4477531566978,-3.9839046183908,-0.188030986336431,3.62165977329419,11.252763689628,10000,1.00057559143986
"r_ID__I[ID_127,Intercept]",3.0661299083433,0.0423794256937588,4.23794256937588,-5.3998639991728,0.311200210549206,3.10378545293497,5.88758494743473,11.3823967302118,10000,1.00012392560579
"r_ID__I[ID_128,Intercept]",17.9846745301379,0.0461810296998364,4.61810296998364,8.36806234293249,14.9895016679984,18.0675366354108,21.0242554313925,26.8338751101815,10000,0.999984902229678
"r_ID__I[ID_129,Intercept]",22.645253149643,0.0593692895510124,5.93692895510124,10.4993583478449,18.792092185141,22.7870204672974,26.6723033401883,33.7654281065351,10000,1.00008192690005
"r_ID__I[ID_13,Intercept]",-7.48554939802022,0.0402928543718172,4.02928543718172,-15.451963834932,-10.157507855424,-7.40639139203507,-4.67286438876882,0.314522740717653,10000,1.00009309689427
"r_ID__I[ID_130,Intercept]",-10.6235867028619,0.0469680718504552,4.69680718504552,-20.3322929560433,-13.6772108623448,-10.558297141375,-7.46757588740005,-1.63323157077964,10000,1.00083893162525
"r_ID__I[ID_132,Intercept]",-2.2245441105068,0.0531463528581758,5.31463528581758,-12.8985459808942,-5.76095014833539,-2.21779702976143,1.46193285112238,7.90626120164644,10000,1.00001911751957
"r_ID__I[ID_133,Intercept]",9.67793300568141,0.0422199501554531,4.22199501554531,1.31905591500288,6.87438926303065,9.72817319994972,12.4897285294953,17.8527501831495,10000,0.99990151371765
"r_ID__I[ID_134,Intercept]",-5.86274526022838,0.0490113009493188,4.90113009493188,-15.818124497641,-9.15720447158828,-5.80270227648211,-2.54091497813662,3.60084680292478,10000,1.00029808833295
"r_ID__I[ID_135,Intercept]",11.9983165700432,0.068165303673786,5.05634056685679,1.71089631934231,8.65702987043034,12.101041360088,15.4839752483653,21.6677905681326,5502.32055759386,0.999997237846559
"r_ID__I[ID_136,Intercept]",-3.98095048168927,0.0372365569009043,3.72365569009043,-11.4316092153453,-6.46104431908565,-3.92387870751944,-1.52161678344926,3.27815834780975,10000,0.999786610557109
"r_ID__I[ID_137,Intercept]",-20.7990919914378,0.119948924698811,6.36765049177034,-33.4638569667635,-25.0942486665031,-20.8290492489045,-16.5246336374713,-7.99498603113745,2818.16046168731,1.0010089663217
"r_ID__I[ID_138,Intercept]",-7.13935146566994,0.0408177796786193,4.08177796786193,-15.2408221211972,-9.86525101476142,-7.05008588696854,-4.36196470118755,0.664606086669847,10000,0.999931959470065
"r_ID__I[ID_139,Intercept]",0.249833459641145,0.0531169532932489,5.31169532932489,-10.4630671175973,-3.2938082377448,0.384316020939021,3.88630437616928,10.3574168429848,10000,1.00044639434871
"r_ID__I[ID_14,Intercept]",10.7598252515255,0.0415227537360406,4.15227537360406,2.00218138395966,8.07851891691056,10.9094490055789,13.6551865446118,18.319524145562,10000,1.00043498249423
"r_ID__I[ID_142,Intercept]",-9.21764697887885,0.051624787335547,5.1624787335547,-19.4871658936058,-12.6527326930087,-9.14211715712146,-5.67333144470375,0.499086398729629,10000,1.00028293013439
"r_ID__I[ID_143,Intercept]",-25.2093616459519,0.0421176186803347,4.21176186803347,-33.595187784352,-28.0200960194882,-25.2011708777935,-22.4346282331121,-17.0641830581302,10000,1.00026407737639
"r_ID__I[ID_144,Intercept]",-9.64938357644783,0.0371386916857838,3.71386916857838,-17.0222067283451,-12.0803701539732,-9.6395439545082,-7.1076763923755,-2.44170828068773,10000,1.00055724231126
"r_ID__I[ID_147,Intercept]",-7.36447254170341,0.042993303662295,4.2993303662295,-15.920231849618,-10.2160254971881,-7.30954593758683,-4.4936995517873,1.00680915314474,10000,1.00126099264842
